userid,text
14265374,"Is the #Biden Administration's use of the #FBI, #IRS and #DOJ as weapons against political opponents a blatant abuse of power?
#TrumpRaid #BidenAdministration  #USA #Marxism #Socialsim #Stalinism #politics #abuseofpower https://t.co/FnSNfqRcdI On our latest Thought to Action: 
The #US #Government's Weaponization of the #FBI, #IRS and #DOJ vs Political Opponents 
#TrumpRaid #BidenAdministration #Biden #USA #Marxism #Socialsim #Stalinism #politics https://t.co/FnSNfqRK3g Censored But Not Silenced - Ep 7:
Rebakah Koffler and Lesley Chaimberlain, author of Ministry of Darkness, discuss how many of Vladimir Putin's influences come from Sergei Uvarov's writings. 

#Russia #politics #RussiaUkraineWar #Putin #history #books https://t.co/8SY2NmovuG Premiering Monday at 12:15:
Will There Be a #Draft if the #US Winds Up in a #War with #Russia or #China?
- on Thought to Action, presented by @TheLCPR

#military #Army #recruitment #conflict https://t.co/RtmrZCzwyq"
16315028,"Leaving #Putin with any #Ukraine territory is a non starter. Kissinger is nuts. How many Ukrainians have died fighting #Putin. You don't negotiate with Terrorists. That's what #Putin is ""A terrorist"" https://t.co/B78r9ncZVR"
16334429,"🇺🇦 Our work in #Ukraine has helped 3 million people. This includes:

🚑 Supporting 122 hospitals, primary #health centers, mobile and static units;
💧 Distributing 136,090 water, sanitation and hygiene and non-food items; 
🏥 Delivering 46,592 health consultations. https://t.co/BdBwYUL7pP"
16683014,Can Ukraine War Boost Push for Renewables #AfricaClimateCrisis https://t.co/owOwD5PwC6 #Africa #ClimateCrisis #renewableenergy #ukrainewar #sustainabledevelopment #sustainability  #ClimateAdaptation  #ClimateActionNow #ClimateChange https://t.co/CYdQPraaoZ Can the Russian Invasion of Ukraine Support Transition Towards Renewables? #AfricaClimateCrisis @allafrica: https://t.co/ZWsBpSG1Ko #Africa #ClimateCrisis #renewableenergy #ukrainewar #sustainabledevelopment #sustainability  #ClimateAdaptation  #ClimateActionNow #ClimateChange https://t.co/AKEl0BA0wo Can the Russian Invasion of Ukraine Support Transition Towards... @allafrica: https://t.co/urAsS61hFl #Africa #ClimateCrisis #renewableenergy #ukrainewar #sustainabledevelopment #sustainability  #ClimateAdaptation  #ClimateActionNow #ClimateChange https://t.co/m2ENcnKpSH Can Ukraine War Boost Push for Renewables #AfricaClimateCrisis https://t.co/owOwD5PwC6 #Africa #ClimateCrisis #renewableenergy #ukrainewar #sustainabledevelopment #sustainability  #ClimateAdaptation  #ClimateActionNow #ClimateChange https://t.co/D5Fme6MpBf Can Ukraine War Boost Push for Renewables #AfricaClimateCrisis https://t.co/owOwD5PwC6 #Africa #ClimateCrisis #renewableenergy #ukrainewar #sustainabledevelopment #sustainability  #ClimateAdaptation  #ClimateActionNow #ClimateChange https://t.co/HDOA1JSGUz
17849565,"Today is World Humanitarian Day #WHD 💙 honoring aid workers across the globe. Who would you honor and why? 
https://t.co/nOItZQkjAC 

@UNOCHA 
@UNReliefChief 

#TheHumanRace #HelpIsOnTheWay #hunger #poverty #war #healthcare #EnvironmentalJustice https://t.co/dLkjCCDtKT"
20034012,"Huns attack the Great Wall of China 
photo merch  https://t.co/Dl3xRwaWFn
#BuyIntoArt #photography #fineartforsale #ancienthistory  #fineartamerica #wallart #art #artist  #photoart #digitalart
#history #miltaryhistory #military #war #battle https://t.co/lkdDYeSC3B #WWII memoir https://t.co/PUsVR5ijsK
#BuyIntoArt   #fineartamerica  
eBay Art: https://t.co/JQTz24uzTP
#history #miltaryhistory #military #war #battle 
photo merch  https://t.co/Dl3xRwaWFn"
30507250,"🇷🇺 #Putin's #Russia continues its terrorist activities. Blackmailing Europe &amp; the world with #Zaporizhzhia NPP should be met with even harsher sanctions (#Rosatom) by 🇪🇺 &amp; #G7

@EUparliament stands with 🇺🇦 @ua_parliament in fight for restoring #Ukraine's territorial integrity.
👇 https://t.co/AJns6bJU2A"
66486777,"#China has announced #Vostok #military drills to include #Russia as well as #India, #Belarus, #Mongolia &amp; #Tajikistan. @RichardWeitzDC offers several recommendations for U.S. response to growing #RussiaChina security ties. https://t.co/0nz6H0w8TM https://t.co/zqszJ7xg2W"
73517232,"🇷🇺 #Rússia #Russia #Rusia #Russland #Russie #Россия #ロシア #रूस #روسيا #俄罗斯 .

How Russia is dodging Western sanctions with gray-market imports https://t.co/xcCNyoCB7u"
86783204,"@HillsHaveEyes02 @AntisemitismNo @dlsmith0817 @speedymc67 @manifesto2000 @Pakeha56 @P3ng1z @Ronisonit @Michael__Baskin @kevinadiamond @initiative_Insp @NKippur @AndyStill11 @MisterTwyst @JewishWalugi @wiseduck2 @Daniel85401173 @IreneMinkema @ScoullarCraig @eye_seeeee @PalDoesNotExist @Clipstone56 @DanielMazahreh @baytifirasak @leftofcool13 @Ed91305795 @soc_justice1 @MulToot @SusanMorais @dezi555 @ogalili @MadAtomica @emmettimanu @Indisciplined12 @Th2shay @MrEvan609 @MasalaFry69 @LawrenceTomli14 @Twattertale @ZechariahSharab @gelfstein @spellerwiix @ItsJordanYT @EmanuelShahaf @karmorEMES @a_koplen @BgoerckeRobert @MarkNew @JewsMatterToMe @Lexirocksss It was war and you’re both delusional and a Jew hater. 

6 vs 1.  

#War. https://t.co/TQem2L8dk4"
90333128,@SydesJokes @dghr272 @ChrisNeilBrown @TonySands63 @PaulCini12 @darraghbryan1 @Saslan7Ss @hekwasi @maurillac @deelomas @dontbrexitfixit @ChrisyDrThomas @MargoBuchanan Thanks again @SydesJokes for the wonderful shout out today 👍♥️☀️ #Friday #August19th 2022 #StandWithUkraine https://t.co/XmJbCuN8Uq
95868707,Got exclusive #media coverage award for a conference on #Xinjiang @CathayPak @AmbNong @MFA_China @zlj517 @SpokespersonCHN @zhang_heqing @XIEYongjun_CHN @JiRongMFA @Jingjing_Li @CaoYi_MFA @mazeemkhan1974 @WangXianfeng8 @XianghuaZhang @CSC_CUI #China #Beijing #COMSATS https://t.co/g68NsiKX38
107720826,"#Tarot readers don't KNOW. They use cards to seek, fetch out &amp; articulate what they feel non verbally about a given situation. #Ukraine will win the battle for Kherson. 
Russia 8+9 Swords, 
Ukraine 4 Wands + Ace Cups. 
3 Swords. Great cost. Libra c 3-12 Oct could prove critical. https://t.co/duM6b0Qcte"
113608322,"#PapayaFilms had the honour of filming some campaigns in Ukraine such as SUBWAY for Huawei filmed over 3 nights at stations in Kharkiv, Park Bridge &amp; Khreshchatyk in Kyiv. 

#Ukraine #FlashbackFriday #SupportIndieFilm 
 https://t.co/MxkU0QxQyu Meet Ukrainian Musician Slava Vakarchuk &amp; hear his story in #PapayaRoster director Marc Wilkins doc series #u4Ukraine from #PapayaFilms &amp; #DocsAgainstGravity. 

Watch, donate &amp; support: https://t.co/eT1mYdhsmm

#Docs #FilmTwitter #Ukraine #SupportIndieFilm
https://t.co/xVQuQ8tTAD"
115088543,"Regardless of everything going on in our own lives, let's take a moment to #Pray for our friends facing horrific realities in the #Ukraine and around the world, wishing them #peace, #love, and #safety for themselves and their loved ones.
#PrayforUkraine #DowntownMission https://t.co/iygdUo1Wak"
