userid,text
794808,"The fake news circulated in #Taiwan days surrounding Pelosi's visit mainly aimed at insulting Pelosi, showing off China's military power in the drills, belittling Taiwan's status.
#China

https://t.co/pzp3Xq2N6f"
1010121,"#Navalny What an amazing documentary.
Such an incredible man trying to fight #Putin and his corrupt regime.
Simply a must see.
https://t.co/zTAW2i1wGC"
7254362,"If you are asking employees to account for every moment of the work day, you should remember that time tracking itself takes…time. 

#SlavaUkraini 🇺🇦🇺🇦🇺🇦
#OurBodiesOurChoice 💗🐈🎓
#BanAssaultWeapons 🙏💔🙏
#CovidIsNotOver 😷💉😷

#be_selfless

ZOE:
https://t.co/dwxh3sBsdO"
12262192,"Dear @twittersupport, we're surprised to know our that @dedushkaa account was suspended today. We're sure it's a mistake and he should be unbanned."
13294452,"🇬🇧It's simple, in the world it would be #Trump, #Putin and #Orban who would rejoice if #Meloni and #Salvini win. An enormous danger for Italy and for Europe."
13860782,Great close up of the Hungarian Gripens. They appeared even closer than reflected in the photo. #BalticAirPolicing #NATO #Šiauliai https://t.co/Ek89y9PQdS
14125938,"🤣🤣 that's freaking brilliant lol

____
#Biden #ChristopherWalken #MAGA https://t.co/ua5balO3bL"
14623866,"@BBCNewsAsia #Putin gone, power games will follow in #Moscow... 🔥"
15186797,"Well apparently Covid-19 restrictions are not for everyone 

#NATO #SannaMarin 
https://t.co/Q5sBoGm91c https://t.co/JwSntLk04J"
16270055,"According to this notice on the Chinese Embassy website in Singapore, #students with valid study visas as well as APEC pass holders will be able to enter #China from August 24. 

Requirements for student visas also added. Returning students require school-issued approval letters. https://t.co/eh3VRTsirz"
16423869,"The #nuke units need to be #throttled down to 60% #capacity

This will clarify to the already suffering #NATO/#EU #slaves their #future

The gambit is to create a #demilitarized #zone
... more
⛽️🦕 https://t.co/Xn4Psbz0vy"
16602558,#Zelensky on se calme ! https://t.co/izZyj90i7S
17003103,Good call w/ Special Rep @MiroslavLajcak on our respective talks with leaders from Belgrade &amp;  Pristina. Welcomed decision to continue negotiations within the #EU-facilitated dialogue &amp; agreed to stay coordinated. #NATO &amp; the EU are working hand in hand in the Western Balkans. https://t.co/kApAZtRIhY
17324944,"The more I see from #FauxNews the more I'm convinced they are working for both #Putin and Big Oil special interests.

Anti-American propaganda 
#VoteBlueNoMatterWho
@FoxNews 
@foxnewspolitics 
@foxnewstalk"
17737602,"4% of Adults in mainland #China will be #millionaires by 2030. 

In #India, we'll have less than 1% of our adult population. 

#Singapore will lead with 13.4%, followed by #Australia. 

Thought about where you'd like to live in 2030? (BS) #thecuratednews https://t.co/GyfLReYphC"
18373968,"#China’s military invasion of #Taiwan is no longer a question of if, but when. The crisis couldn’t have come at a worse time for #XiJinping as China fights a terminal economic slowdown. Taiwan could be Xi’s poisoned chalice. My ⁦@Openthemag⁩ column  https://t.co/1J0p2Mz5d9 Chinese President #XiJinping regards reunification of #Taiwan with #China as his enduring legacy. But invading &amp; occupying an island of 23 million people, protected by a 100-mile buffer of sea, won’t be easy. Moreover a military invasion could spark a US-China standoff. My column https://t.co/IssaEcs86T Even as #China threatens #Taiwan with economic blockade &amp; military invasion, #XiJinping faces structural problems at home: slowing economy, zero-Covid lockdowns &amp; flight of foreign firms. For India this is both an economic &amp; geopolitical opportunity. My ⁦@Openthemag⁩ column https://t.co/Ca7foM356i"
