userid,text
25049056,"🔴WAR IN 🇺🇦: 17 people were killed in two Russian 🇫🇷 attacks in #Kharkiv, #Ukraine's 🇺🇦 second largest city, on Wednesday and Thursday. 

#Russia 🇷🇺 denies deliberately targeting civilians in what is a predominantly Russian-speaking city. 

@erinogun reports ⤵️ https://t.co/4xRO0uWYZO 🔴WAR IN 🇺🇦: 17 people were killed in two Russian 🇷🇺 attacks in #Kharkiv, #Ukraine's 🇺🇦 second largest city, on Wednesday and Thursday. 

#Russia 🇷🇺 has denied deliberately targeting civilians.

@erinogun reports ⤵️ https://t.co/p6TTC1xY3D @erinogun 🔴 WAR IN 🇺🇦: During the early days of #Russia’s 🇷🇺 invasion of #Ukraine 🇺🇦, numerous atrocities were committed in small towns north of #Kyiv. 

FRANCE 24's Chief Foreign Editor @RobParsonsF24 reports from a #Bucha cemetery during a ceremony to remember those who were lost ⤵️ https://t.co/xVc3mIvb7o @erinogun 🔴 WAR IN 🇺🇦: During the early days of #Russia’s 🇷🇺 invasion of #Ukraine, numerous atrocities were committed in small towns north of #Kyiv. 

FRANCE 24's Chief Foreign Editor @RobParsonsF24 reports from a #Bucha cemetery during a ceremony to remember those who were lost ⤵️ https://t.co/F974r4JeZ5 @erinogun @RobParsonsF24 🔴 WAR IN 🇺🇦: #Ukraine has said #Russia plans to disconnect #Zaporizhzhia nuclear plant from the Ukrainian power grid.

From Kyiv, @RobParsonsF24 has the latest ⤵️ https://t.co/OteCS9cmIV Russian 🇷🇺 pro-#Putin rapper #Timati once released a song titled ""My Best Friend is Vladimir Putin""—now he sells coffee.

Timati has reopened closed Starbucks stores and renamed them ""Stars Coffee"" using a very similar logo.

Take a look for yourself ⤵️ https://t.co/7gAtnErZOG 🇷🇺 Vladimir #Putin and 🇫🇷 Emmanuel #Macron on Friday agreed on the need to send a team to inspect the Russian-controlled Zaporizhzhia #nuclear plant in #Ukraine 🇺🇦.

Until now, Putin and Macron had not been talking. FRANCE 24's Philip Turle explains ⤵️ https://t.co/EFehoBt0B1"
27890789,"Total Amount of US Aid to Ukraine: 10.6 BILLION F*CKING DOLLARS! 😩🤯💸💸💸
#UkraineWar #UkraineRussiaWar
 https://t.co/rra68KkHZV Wonderful people they got in the Ukrainian Foreign Legion, eh?
#Ukraine #Russia #Russian
 https://t.co/QilNwwuulB"
28707492,"@A__Alimov It’s in the best interest of the world to provide material support to a sovereign, democratic nation invaded by a genocidal dictatorship. #russiaisateroriststate"
28909725,Informative &amp; easy to digest piece on Putin &amp; #Ukraine. https://t.co/mZCs7x2Msd
28970958,Ever since WW2 and nukes. The Super Powers don't fight each other directly. Bcos it means mutual destruction. They fight each other via their proxy war in 3rd countries. And it's the people of the 3rd countries that do the suffering. Eg #Ukraine
32148675,"Remember how #Russia lost #McDonalds on the verge of the #Ukraine invasion?  Now the same thing with #Starbucks. 
#Russian style!  #PrayForPeace 🙏 https://t.co/LHokXh2kqU"
33564741,Thread by @WarintheFuture: The Ukrainian attack on Russian bases in #Crimea in the past week brought attention back to a war which many in the west have largely lost sight of. Here’s an examination of the prospects for a victory for #Ukraine. https://t.co/mZSWmS9snz
36204681,"Just so you know, @Quora is covering for the #RussianTerroristState. Delete my comment for mirroring the original post. His post is still there. #Ukraine #UkraineRussiaWar https://t.co/SUPMcN6svB"
36511815,Every Country should improve or work on the time loss. #chinarussia #ChinaTaiwanCrisis #IndianArmy #America #IranDeal #Ukraine @SpainInTheUSA https://t.co/ahMqIebbD0
38568436,"@mfa_russia @RussiaUN @RusEmbUSA @LV_RUSEMBAS @MID_Kaliningrad @RF_OSCE @natomission_ru @RusBotschaft @rusembitaly @RusEmbassyJ @RusMission_EU .
mfa russia might be surprised to know that people outside its border, want a friendly relationship with russia

the pathway to trust starts with the exit of russian forces from #UkraineRussiaWar"
40271429,"The moment Russians obliterated apartment blocks with thermobaric bomb: Terrifying video shows onslaught amid heavy fighting for the Donbas. #news #Ukraine 

https://t.co/X6k685cjVp Computer repairman claims FBI agents threatened him and told him to say NOTHING about Hunter Biden's laptop when they came into retrieve it - two months after he said he was willing to hand it over. #news #Biden

https://t.co/e6OCHT1XM2 Ukraine taunts Russian tourists in mock-tourism video on social media advising them not to visit Crimea unless they want an 'unpleasantly hot summer break'. Russian tourists are shown fleeing the shore, and one woman is seen crying. #news #Ukraine 

https://t.co/AqSx9EwANi McDonald's says it will reopen branches in Ukraine to restore an 'important sense of normalcy' in the country six months after restaurants closed when Russia invaded. #news #Ukraine

https://t.co/p5uX4VJPke"
40971109,"Terrible of the @BBCNews to continue to introduce Russian occupied #Crimea as “This is Russia”
#CrimeaBelongsToUkraine !!
Explosions near Ukraine border -   BBC News https://t.co/uiBuQfLUwe"
43115163,"Oleksandra is an assistant protection officer in Dnipro, #Ukraine, where she helps internally displaced people. Oleksandra brings a unique perspective to her job: She, too, was forced to flee her home. #ItTakesAVillage #WorldHumanitarianDay https://t.co/yF2ubAfHQz"
43292769,That bridge will be gone within 48 hours #Ukraine️ #crimeabridge #russiaisateroriststate https://t.co/XKj3qLi55E
46478902,@NewVoiceUkraine US doesn't object to #ukraine targeting the Russian invaders inside Ukraine. Glad we got that cleared up. @JimmySecUK They still haven't hit that Ukrainian airship which passes overhead every night #ukraine
46497226,"What a shame that it’s come to this…because of #Putin’s despicable acts, great Russian players like @DaniilMedwed cannot have their nationality displayed when they play.
The sooner Putin is defeated the better. 
🇺🇦🇺🇦🇺🇦🇺🇦🇺🇦🇺🇦🇺🇦🇺🇦🇺🇦🇺🇦🇺🇦🇺🇦🇺🇦 #Medvedev https://t.co/lZEbarSQva"
49085614,"#Europe and #EU must continue to support #Ukraine. Leaders must understand this war is about the future of Europe and Ukraine is fighting against #Russian #fascism coming to us. https://t.co/SvxDwDb9Sw #Putin remains a master strategist https://t.co/dWLI5IDh6y #SannaMarin dumbest, by #Putin assholes and #Nazi's invented ""scandal"" ever seen. 👇 https://t.co/1mVcLo7AcQ #Gangsters and #WarCriminal stick together.

#Afghanistan #Russia https://t.co/gJCI3SBxlF @nexta_tv Fucking losers and suckers.

#Yanukovych #Medvedchuk #Putin #Russia #BlackSea Fleet https://t.co/ruBnuxT34b Hopefully all #Russian #military equipment including the #BlackSea fleet gets destroyed by #Ukraine fighters. 👌 https://t.co/O38XHrvrlW So, please #US and #Biden, send #Ukraine 20 more #HIMARS.
You can afford it and Ukraine could possibly destroy the #Russian #Orcs completely. https://t.co/hn0BBmRClx"
51480019,"For your discernment...
#USA #Russia #China #Ukraine #Korea 
https://t.co/w2VT2i02Hr"
53347655,"UNA-UK welcomes the landmark Black Sea Grain Initiative, a critically important step in alleviating catastrophic global food shortages.

Read about the deal, a culmination of months of negotiations and diplomatic efforts led by the @UN + Turkey.

https://t.co/N3FoHf3eHy
#Ukraine https://t.co/ulgzu3K4lo UNA-UK calls on all parties to use this forum to help ensure the free unhindered flow of humanitarian aid and support progress towards permanent peace. 

#Ukraine"
55547818,Check out @dbsalisbury's new commentary on what states need to do to strengthen #ExportControls-- and prevent Western chips ending up in #Russian weapons systems. https://t.co/8gPgk6OgYC
62223929,"@RussianEmbassy @KremlinRussia_E @mfa_russia @BBCWorld @SkyNews @ftworldnews @REESOxford @ForeignAffairs @NewStatesman @LBCNews @POLITICOEurope And I gather that #Putin has been very influential in helping them to create chaos. @RussianEmbassy @mfa_russia @RusembUkraine @BBCWorld @guardianworld @TelegraphWorld @mod_russia @spectator @IISS_org @SkyNews @FinancialTimes Hahaha 🤣 you #Russian spokespeople are really comfortable with being #Hypocrites   Your hypocrisy keeps us amused, but we’d be glad if you gave up on it. https://t.co/Hp8ys5dndS @mfa_russia @RussianEmbassy @iaeaorg @RussiaUN @RF_OSCE @mission_rf @mission_russian @Amb_Ulyanov @MFA_Ukraine @RusEmbUSA @StateDept We all know what #Russia is doing. So no point in trying to fool us. @RussianEmbassy @mfa_russia @RusembUkraine @mod_russia @BBCWorld @FinancialTimes @guardianworld @TelegraphWorld @spectator @ForeignAffairs @IISS_org Yawn 🥱 Yawn 🥱 Yawn . Are you really going back to this ridiculous narrative AGAIN ?!! #RussiaIsATerroristState #russianpsychopaths #RussianPropaganda"
64747148,"A #Russian paratrooper talks about the shambolic training, command and equipment of the army in Crimea before the invasion of #Kherson, #Ukraine. https://t.co/l1cgeeLtFM #Turkey is considering further purchases of #S400s from #Russia, as trade between the two skyrockets. The #Ukraine war is pulling this NATO ally inexorably into another camp. https://t.co/XhTMEoxppG"
66317419,"The #Strava leaderboards are spreading! Our first activity has been registered in Makiv, Khmelnytskyi Oblast, #Ukraine. Welcome aboard! https://t.co/Fu5s3HA9t2 The #Strava leaderboards are spreading! Our first activity has been registered in Kalayagaqi, Xinjiang, #China. Welcome aboard! https://t.co/jOHYqCO0gd The #Strava leaderboards are spreading! Our first activity has been registered in Xinyuan, Xinjiang, #China. Welcome aboard! https://t.co/Go0EY96DeY The #Strava leaderboards are spreading! Our first activity has been registered in Dushanzi, Xinjiang, #China. Welcome aboard! https://t.co/eSR3uAFXZT The #Strava leaderboards are spreading! Our first activity has been registered in Krasnoarmeysk, Moscow Oblast, #Russia. Welcome aboard! https://t.co/HiwmziuSki The #Strava leaderboards are spreading! Our first activity has been registered in Stary Oskol, Belgorod Oblast, #Russia. Welcome aboard! https://t.co/NPDKdGo7lF The #Strava leaderboards are spreading! Our first activity has been registered in Pushkinskiye Gory, Pskov Oblast, #Russia. Welcome aboard! https://t.co/fEFX8FMR2w The #Strava leaderboards are spreading! Our first activity has been registered in Ostashkov, Tver’ Oblast, #Russia. Welcome aboard! https://t.co/Lqmz2XRVY2 The #Strava leaderboards are spreading! Our first activity has been registered in Khot'kovo, Moscow Oblast, #Russia. Welcome aboard! https://t.co/rH8IITu82S The #Strava leaderboards are spreading! Our first activity has been registered in Konstantinovo, Moscow Oblast, #Russia. Welcome aboard! https://t.co/ZHN20Ulgv9 The #Strava leaderboards are spreading! Our first activity has been registered in Vostochnyy, Moscow, #Russia. Welcome aboard! https://t.co/hzKWKI00aw The #Strava leaderboards are spreading! Our first activity has been registered in Bogolyubovo, Vladimir, #Russia. Welcome aboard! https://t.co/AGLXz6fqNu The #Strava leaderboards are spreading! Our first activity has been registered in Podolsk, Moscow Oblast, #Russia. Welcome aboard! https://t.co/xefrVDnUHS The #Strava leaderboards are spreading! Our first activity has been registered in Kuskovo, Moscow Oblast, #Russia. Welcome aboard! https://t.co/05VJ5lP7aU The #Strava leaderboards are spreading! Our first activity has been registered in Torzhok, Tver’ Oblast, #Russia. Welcome aboard! https://t.co/xH8t37Nz6V The #Strava leaderboards are spreading! Our first activity has been registered in Zavety Il’icha, Moscow Oblast, #Russia. Welcome aboard! https://t.co/8ZbpiqOIPT"
67422691,"⚡ A new military-patriotic education centre for high school students, called Avangard, is being built in #Russia, in the Vologda Oblast.

Details ⬇️"
68971153,"WORLD NEWS

Putin planning false flag strike, claims #Ukraine
Volodymyr #Zelensky urges #UN and #Turkish leaders to intervene and help protect #Zaporizhzhia nuclear plant https://t.co/y2kPjDscyF #Ukraine: Families start to flee #Zaporizhzhia as nuclear plant tensions rise - The Washington Post https://t.co/uyqfrg1QOs"
71475375,People need to stop suggesting to Russia to bomb Ukraine 🥴 #UkraineRussiaWar https://t.co/5ssaItwHgu
78734133,So every nuclear power plant must be powered forever to avoid meltdown. Hmmm.  #Ukraine
80851427,"@KyivIndependent The world needs an independent Ukraine because Ukraine is one of our last hopes of humanity to fight fascism and terrorism, when they win, the world wins!! #SlavaUkraini 🇺🇦"
84736792,Please support make a donation We need your Help https://t.co/GjcF2DDtjR #GoFundMe #Donations #help #sos #UkraineRussiaWar #Ukraine️
84742233,UPD. #Prytula Foundation bought one #ICEYE SAR satellite which now belongs to #Ukraine till it's end of life. On top of that #Ukraine paid for 1+ year access to a whole #ICEYE SAR satellite constellation. Armed Forces of #UA now can see through a clouds. #RussiaIsATerroristState
84905839,"@cryptodrftng Imagine how much grain would be flowing if Russia hadn’t invaded &amp; interfered in Ukraine.

#RussiaIsATerroristState"
88196314,19/08/2022 #StandWithUkraine #Ukraine #DigitalResistance ** Verified** https://t.co/Dvhf9sW1Lw 19/08/2022 #StandWithUkraine #Ukraine #DigitalResistance ** Verified** https://t.co/ze2dxVDXvQ 19/08/2022 #StandWithUkraine #Ukraine #DigitalResistance ** Verified** https://t.co/637NS8qEWf 19/08/2022 #StandWithUkraine #Ukraine #DigitalResistance ** Verified** #Tver https://t.co/fLItZEs2mY 19/08/2022 #StandWithUkraine #Ukraine #DigitalResistance ** Verified** https://t.co/2jzR9IU4Qc 19/08/2022 #StandWithUkraine #Ukraine #DigitalResistance ** Verified** #Belgorod https://t.co/MBn3ETQa8C 19/08/2022 #StandWithUkraine #Ukraine #DigitalResistance ** Verified** #Kherson https://t.co/omTDyvwIz6 19/08/2022 #StandWithUkraine #Ukraine #DigitalResistance ** Verified** https://t.co/w0dFHrRlWu 19/08/2022 #StandWithUkraine #Ukraine #DigitalResistance ** Opinion** https://t.co/6efTmLXLCS 19/08/2022 #StandWithUkraine #Ukraine #DigitalResistance ** Verified** #Crimea https://t.co/i6zJ4HOkEr 19/08/2022 #StandWithUkraine #Ukraine #DigitalResistance ** Verified** Ukraine war: Russia rejects call to demilitarise Zaporizhzhia nuclear plant area https://t.co/ryrqpZy5Jj 19/08/2022 #StandWithUkraine #Ukraine #DigitalResistance ** Verified** #Zaporizhzhia https://t.co/aZOXhYJS1B 19/08/2022 #StandWithUkraine #Ukraine #DigitalResistance ** Verified** https://t.co/idxdmYXy9i 19/08/2022 #StandWithUkraine #Ukraine #DigitalResistance ** Verified** https://t.co/W8wd5DggxL 19/08/2022 #StandWithUkraine #Ukraine #DigitalResistance ** Verified** https://t.co/cdd62QSZ1g 19/08/2022 #StandWithUkraine #Ukraine #DigitalResistance ** Verified** #Sevastopol https://t.co/NjWQ0PvBfp
91304079,"Arm Ukraine 🇺🇦  Now! #ArmUkraineNow https://t.co/tuaEZ4Okxz Arm Ukraine 🇺🇦 @SwedishPM #ArmUkraineNow #Sweden #SlavaUkraine https://t.co/CwAAhBZx32 A gentle reminder! Make it happen now! #BanRussianOil #BanrussianVisas #EU #russiaisaterrorisstate #NuclearTerrorism #StandUpForUkraine https://t.co/0bOcmfIvz7 @vonderleyen, what can we do to speed up the support of weapons to Ukraine? #ArmUkraineNow https://t.co/8Zijjdy6dC"
94794447,"Congratulations to Linian LI and the amazing @DeepVerge @Modern_Water China team as 2022 Finalist in the British Company of the Year Award SME Category, British Chamber of Commerce in #China https://t.co/8rq6Hlvf6b https://t.co/9hdZf3p0aD"
95455461,"On 8 August, @CambridgePfE and the Ministry of Education &amp; Science in #Ukraine signed an agreement to help Ukraine’s displaced children continue #learning.

Read more here: https://t.co/UaX24797ty"
96515533,"#ABCNews #ukraine #roevwade
ABC News Prime: DOJ asks to unseal Trump warrant; Attempted FBI breach; Last fire brigade in Ukraine

https://t.co/wqFKMOFftQ"
97792916,"🚨“Employees of the #ZaporizhzhyaNPP warn of the danger of a nuclear catastrophe, the consequences of which ""may be an order of magnitude worse than the results of the tragedies in Chernobyl and Fukushima""”
#Ukraine 
#UkraineRussiaWar https://t.co/ITodvpCZbm"
98272141,"#standwithukraine #armukrainenow Some expect a massive radioactive cloud to drift from Ukraine towards Europe &amp; then toward Türkiye starting tomorrow August 19th, 2022 @NBCNews @UN @POTUS @VP @MFA_Ukraine @MFATurkiye @AP_Europe @EuromaidanPress @cnnbrk @BBCBreaking @EU_Commission https://t.co/ddh4Xkl6AP Some expect a giant cloud of radiation to move from Ukraine west toward Europe then south towards Istanbul, Türkiye based on weather trends &amp; the staff at Zaporizhzhia nuclear power plant being told not to come in tomorrow August 19th. #standwithukraine #armukrainenow @NBCNews https://t.co/X5dppN43rn"
99666729,"well, well. #solar sounds like a great way to defeat #russia. https://t.co/zsTRYnv0ff"
99674560,"Which Countries Produce the Most Natural Gas ⛽️? 

#renewables #GasPrices #EnergyPrices #RussiaUkraineWar #SupplyChain #Procurement #logistics #Sustainability #ESG #SDGs 

https://t.co/cOEiydlSRA https://t.co/zBYnQ9N7cN"
103581774,"Civilians of #Artsakh / #NagornoKarabakh protested in Stepanakert today to voice their concerns to the #Russian PKs about the handover of Arm areas to Az since and in violation of 2020Nov9 statement about new casualties, lack of security, growing isolation and other issues. @OSCE https://t.co/jwTC14ZFdn"
110082899,"@Gingerly636 Yes - until the last 5-6 years, I thought my parents lived through much more difficult times than I. Not true anymore #dividedstatesofamerica #pandemic #Ukraine #PutinIsaWarCriminal #TrumpIsGuilty #BlueWave #BlueCrew"
111511765,"Hahaha! 🤣🤣🤣 This is absolutely savage, i love it! 😂 Go Romania! ✊🇷🇴🇺🇦 #Ukraine @ITArmyUKR @ZelenskyyUa https://t.co/Dc12tO6fCJ https://t.co/TwDbJxrC3H Apple devices with a new vulnerability. 🧐 Make sure you update your iPhone or Mac laptop ASAP, or you are vulnerable to having your device hacked thoroughly. ☠️ #Ukraine @ITArmyUKR #Anonymous #OpRussia @DI_Ukraine @DefenceU #security @ZelenskyyUa ✊🇺🇦"
115670849,"Funny how this ‘scheduled ‘#NS1 maintenance is required on short notice just a few weeks after the regular maintenance period and exactly overlapping the next meeting of #EU foreign ministers and the Forum for #Ukraine

What a coincidence!

https://t.co/M8XR7IjfbT https://t.co/lNhu5tnGTG"
118499833,"@usykaa Knock him out cold, your Country #Ukraine️ deserves it after the slaughter of your people by the mad crazy Russians. @UN"
123891304,"#US throws weight behind #India saying #US understands India will need a long-time to reorient policies towards #Russia @StateDeptSpox made these remarks when asked about India increasing imports of Russian oil, fertilisers, defence systems &amp; holding joint  military exercises. https://t.co/Xgo30kOC3X"
127886596,"My Suggestion to #Ukraine is Surround Them And #StarveTheRussiansOut 
https://t.co/VYfVPMjREf"
128175695,"A very informative calculation, albeit with quite a few assumptions. Gives a rough guesstimate that russia has 11-24 months worth of artillery left. Still a horrifying figure. Ukraine needs more weapons #ArmUkraineNow https://t.co/ktwTtIiOr7"
128455588,＃Ukraine https://t.co/wLgJngeDJV
142587336,"@michaelh992 #Putin lies! @ernestdecugnac @apmassaro3 I am sorry you appear to be an apologist for a tyrant like #Putin who is massacring innocent Ukrainians but there is simply no justification for this war and the blame lies wholly with the dictator residing in the Kremlin. @ernestdecugnac @apmassaro3 You are very welcome to your opinion and I accept it. However, in my view, we have to help the Ukraine as a megalomaniac like #Putin would not stop at Ukraine’s borders as we have seen from the rhetoric from within Russia! @Keir_Starmer @davidericstan Blame #Putin not the Government!"
160198892,@RomeoKokriatski @Euan_MacDonald It should be regarded as a 1st strike by Russia on any country that shall be in the line of fallout. Given this would include #NATO countries; Russia should be prepared for a NATO response - this should be the unequivocally message now from the Secretary General of NATO
160870683,This is why #SputnikV is no longer the #CovidVaccine being rolled out in #UK because of this #UkraineWar horeshit scandal!! https://t.co/lyD7ip5AqO
164105224,"$ 800 million to #Ukraine️ more? 

THIS IS    O B S C E N E!

#BidenWorstPresidentInHistory 
#UkraineRussia 
#DemocratsHateAmerica https://t.co/7MrKr2HUlc"
169058348,. #isitok that @MarinSanna is being set up as having taken drugs by Russian backed  online accounts a few months after suggesting that #Finland is eligible to join #NATO ?
191835354,"The clarity needed by some @BBCRadio4 and #energy commentators. 👇 It's not #UkraineRussiaWar at heart of this. It's *compounding* an existing #ClimateCrisis which has got us by the short and curlies because we have a fundamentally vulnerable energy worldview, &amp; infrastructure. https://t.co/fPoXIjgWaI"
224961966,"Guterres celebrates one small win for UN in Ukraine war -- restarting grains exports
https://t.co/vEkN4Kh5RZ

#AntonioGuterres #UN #UnitedNations #UkraineWar #GrainExports @antonioguterres @UN"
227259119,"We (#Estonia) face the most extensive cyberattacks after 2007. Police and Border Guard Board, the Tax and Customs Board, Smart-ID website and postal service Omniva were among targeted ones. #Russia|n #Killnet claimed responsibility for the attacks.
https://t.co/6BrBEO1wys"
241109025,#Putin is losing the information war in #Ukraine https://t.co/7rdoEtre40 from @TheEconomist: a cyber-attack against a #NATO member country could trigger Article 5. Overspill risk is very real—we’ve seen incompetence and carelessness by Russia before.   https://t.co/7rdoEtre40
242354037,"Western official says #Ukraine can use a number of ""mechanisms"" to launch attacks in Crimea - though picture of what's happened in recent days still not clear. Says Ukraine Special Forces have the ability to operate behind enemy lines."
246751396,"Councillors are calling on locals to turn the town yellow on Wednesday to mark the country's independence day #Ukraine #SunflowersForUkraine #Daventry 
https://t.co/uWnE7L9Tct"
248819855,"#Ukraine According to #ESCInsight podcast, Dmytro Shukov, aka Pianoboy, has been appointed official music producer of the national selection."
252667299,"Since the Biden administration was installed in Jan. 2021 an estimated 3.6 million illegals entered the USA.
#Biden #Illegals #WarRoomPandemic"
254419312,"Ruskies repeating the same pattern over and over again.
#visabanforrussians 
#russiaisateroriststate https://t.co/sDqDjdDGv9 #StandWithUkraine ,support
#UNITED24 on Spotify 
🇺🇦🇺🇦🇺🇦 https://t.co/8JrWsqwtEJ"
255040592,"#Russia’s spies misread #Ukraine and misled Kremlin as war loomed

https://t.co/uuVPD0kEkt"
255191504,"Yep! I’ve been saying since the beginning of Russian invasion/war. There is no difference between Russia, turkey and Israel regarding #Ukraine, #Kurdistan and #Palestine. https://t.co/Jtc6VnUiZ7"
257201262,"@na_intel Exactly the distance #Putin will be transported to the tribunal and prison. Coincidence? Total combat losses of #Russia since the beginning of the war with Ukraine, according to the General Staff of the Armed Forces of #Ukraine https://t.co/i7nV8SCDBw"
262841006,"These guys really know what they are talking about. #WarInUkraine is still going on by the way, folks. 

https://t.co/BbInRi9BtQ"
273993353,"🚨 #Russian_Aggression_Watch - summary of news and analyses delivered by 
@PISM_Poland

 #PISM_with_Ukraine 🕊️

Follow our threads 🧵 on the last days in #Ukraine 
🇺🇦🇺🇦🇺🇦 https://t.co/B47KgJTYJv END
We encourage you to follow the analyses of 
@PISM_Poland analysts on our social media and on the website https://t.co/AqAd7MpJrZ

#StandWithUkraine 💪
#PISM_with_Ukraine 🕊️
#Russian_Aggression_Watch 🔍

🇺🇦🇺🇦🇺🇦🇺🇦"
307231970,"#Russian soldiers evacuated a colleague, but found a land mine 💣 https://t.co/LpktPQ4sj4 300 such kamikaze drones will be sent to #Ukraine, after testing in #Poland (developed by an #Australian company) 40mm grenade with a motor 🇦🇺🇺🇦 https://t.co/nF4oLePpus #Russians were just playing with a drone and recording video for themselves and lost it. After that, Armed Forces of #Ukraine attacked their base, which can be seen in the video 📹 https://t.co/5ofcOnrais Some results of the work of the 22nd battalion of the Armed Forces of #Ukraine 🇺🇦 https://t.co/9voOQXsl7P The combined forces of the 49th battalion ""Carpathian Sich"" and the 30th mechanized brigade burned something 🔥 #StandWithUkraine https://t.co/3GmtWvZ7Ij In #Kharkiv, #Ukraine, concrete bus stops have begun to be built that can be used as bomb shelters. https://t.co/oqFjCgT7Um #Ukrainian military rescue a dog 🐶🥰 https://t.co/KmIeC3YdGT Occupied Lotikovo, #Luhansk region. Burning and detonating #Russian ammunition depot 🔥 https://t.co/zT4lNucu08 Footage of the battles for Snake Island was published on the internet ⚔ #StandWithUkraine https://t.co/vzgaoCF2IG A plane full of wounded #Russian soldiers flies home 🏥 https://t.co/pFb5nSRsLL #Russian train has derailed. Location unknown 🚧 https://t.co/muyFteYNJw Explosions at the railway station in occupied #Donetsk. Perhaps the military train was destroyed 🚆 https://t.co/A81V7woqxK #Russian administration in occupied territories (in this case in Brylivka) morally mocks and makes people apologize on their knees, threatening them with death. They also record it on camera without hiding their faces for public humiliation. #RussianWarCrimesInUkraine https://t.co/7SLdXKC8lt #Russian military vehicle got into a car accident #15 https://t.co/ir017a7KHE #Crimea, Vitino, military base. Thanks for the air defense geolocation 👍 https://t.co/UyfhFbr11S #Crimea, #Sevastopol. The air defense shots are perfectly visible, but it is more difficult to understand the exact location here. P.S. Men in the background smoke a hookah 🚬 https://t.co/f7gGG1Rdog Some shots of real fights in #Ukraine ⚔ #UkraineRussiaWar https://t.co/CCw4LuaFpM Another destroyed #Russian tank 👍 https://t.co/mCHfsVtk53 #Russian tank hit a mine 💥 https://t.co/tskai0lP0m"
320610681,"Europe, 2022: civilians need bunkers to be safe from Russian terror attacks while waiting for the bus.  #RussiaIsATerroristState #StopRussia #ArmUkraineNow #WeAreNAFO https://t.co/lXqAzsN40b"
