bot or human,userid,text
b,1470453805,@RussiaUN @mfa_russia @KremlinRussia_E @RusEmbUSA @RussianEmbassy @EmbassyofRussia @RusMission_EU @armscontrol_rus @Interaffairs @UNCANews @UN_News_Centre #Russian #media is becoming a daily #satirical #magazine
b,2205037757,"How I Earn $15 Daily With New TRX Mining Site...
👇 
https://t.co/J93vDJefJ8

#TRX #USDT #Airdrop #cryptocurrency #UkraineRussiaWar https://t.co/IeqX9ChbH9"
h,1533113942008020992,"@ZelenskyyUa 💥🤔So, you want us to believe #Russia would shell the only #NPP it controls? Out of all the NPPs in 404, they will shell themselves?It is clear to us all, it's #Ukraine forces attempting to shell. You realise your claims make ZERO sense to a sound mind? You have all gone MAD!🤬"
h,1533991090696560640,Hey #russia #china now’s the time to conquer the United States because we’ve got dicks for brains running our country
h,1536528949626277888,@SamRamani2 @saintsfan60 Good! Give them whatever they need as fast as possible. #Ukraine
h,1536701310728212480,"We are keeping a close eye on your posts, so next week we will highlight the winners we have so far! 

#AgroGloryTime #agriculture #bounty #farming #blockchain #AGTI #Ukraine"
h,1547910876488880131,"Imagine a Ukrainian child selling lemonade to troops. THAT, even as a mental image, is worth more than the whole of Putin's networth, combined with German sugar baby's. That is worth more than Russia itself. 

Russia has lost the war. They must focus within, and change.

#Ukraine Britain should give British citizenship to all Ukrainian children, and parents/guardian's who currently care for them.

#Ukraine"
h,1549000350782324736,"Youtube :
https://t.co/tWrFrawt5F

#film
#movie
#Russia
#Indonesia
#JAWAEYE
#MovieAdvertisingMarketing"
h,1549500527595073536,"My heart is filled with indignation at this arbitrariness😡😥🥺
#RussiaIsATerroristState #Azovstal #Azov #FreeAzovstalDefenders https://t.co/HhfYmm5njb @amnesty @AgnesCallamard can you see it? Or are you 100% blind?
I'm not a bot, I am a real person, who live in Ukraine, and I want to see my country free. You can see that my page has many tweets about my real life. Check it, if you need.
#RussiaIsATerroristState #amnesty https://t.co/Z0OdMBZlDF"
h,1550210796436819968,"106. #HIMARSoCLOCK #HIMARS 
We may have a finalist for the Russian Turret Orbiting Trophy. #WeAreNAFO 
https://t.co/xpBKlnHTQs https://t.co/MM8B0u9yyZ 107. #HIMARSoCLOCK 
Impressive Drone images of the fire described at post 101. Timonovo in Russia
It is within reach of #HIMARS 
https://t.co/ap3RH92uQq°20'01.4""N+38°03'36.3""E
https://t.co/FpKSfBpyJU https://t.co/vRReiQf8YA 108. #HIMARSoCLOCK 
08/20. Strike of a #HIMARS from the window. #Melitopol
https://t.co/hpy9D8Ovxr https://t.co/WxCY5MFUQQ @vonderleyen @JosepBorrellF 
I understand that this is the way to treat the citizens of the European continent from the Russian Government Official Accounts.
#visaban #VISABANforruzzians #RussiaIsATerroristState #RussiaTerroristState https://t.co/TNETolgOqr"
h,1552310723040223233,"Chinese authorities murder some prisoners in “reeducation camps” to harvest their organs and sell them for transplant at high prices

#China #TrumpIsGoingToJail #TaiwanStraitsCrisis #russiaisateroriststate #Russian https://t.co/GLhezT8SNz Most organs used in transplants are sourced from prisoners. The Chinese government approved a regulation in 1984 to allow the removal of organs from executed criminals.

#China #TrumpIsGoingToJail #TaiwanStraitsCrisis #russiaisateroriststate #Russian https://t.co/h9vHt3KrZD Do you think Donald J. Trump was paid by Putin to do the job for Russia?

#China #TrumpIsGoingToJail #TaiwanStraitsCrisis #russiaisateroriststate #Russian Donald Trump created a sect. Definition of a sect: there is one leader and claims monopoly of truth.

#China #TrumpIsGoingToJail #TaiwanStraitsCrisis #russiaisateroriststate #Russian https://t.co/QS5a2quWY7 In China it may take only one week to find out a suitable kidney donor/prisoner (without his consent), the maximum time being one month... 

#China #TrumpIsGoingToJail #TaiwanStraitsCrisis #russiaisateroriststate #Russian https://t.co/1GKOBOYo8A Chinese law forbids householders from storing more than a tonne of explosives in their basement or cellar. 900 KG is allowed. 

#China #TrumpIsGoingToJail #TaiwanStraitsCrisis #russiaisateroriststate #Russian https://t.co/sfBOx3I2gJ How many babies are abandoned in China each year? 100,000 children every year. Most of them have disabilities. An enlightened society with zillion years of history and civilization, indeed.

#China #TrumpIsGoingToJail #TaiwanStraitsCrisis #russiaisateroriststate #Russian https://t.co/WNuBr8Xk6Z Law in China: Thou shalt not stop at pedestrian crossings. Article 40 of Beijing’s traffic laws stipulates that drivers of power-driven vehicles are forbidden to stop at pedestrian crossings. Risk a fine if they stop.

#China #TrumpIsGoingToJail #TaiwanStraitsCrisis https://t.co/doLgdgLr40 Between 30 and 60 million “missing girls” in China - killed in the womb or just after birth. 

#China #TrumpIsGoingToJail #TaiwanStraitsCrisis #russiaisateroriststate #Russian https://t.co/QEefFLhKI1 Family in Zhengzhou was forbidden from naming newborn son “@” because of the rule stating that all given names must be translatable into Mandarin. But you can translate it is 在…

#China #TrumpIsGoingToJail #TaiwanStraitsCrisis #russiaisateroriststate #Russian https://t.co/s6xntwMZrx Eat healthily. Eat fruits. The healthiest fruit of all is Bacon.

#ChinaTaiwanCrisis #China #Health #Pelosi #NormalPeople https://t.co/j8oi3p1Lgm"
