bot or human,userid,text
h,725621830837501952,Full Ukrainian soldier Equipment 😇 https://t.co/ne673xv796
h,792054557501038592,"A great thread. Russia causing comparable artillery destruction to World War II. Ukraine still outgunned. If Russia is not stopped in Ukraine, it leads to much more suffering and war. #ArmUkraineNow Artillery, rockets, armored vehicles, all of it. https://t.co/wOruvdj9dv “The Russian military ended up showing up to the fight with almost no dismounted infantry…who is going to fight in cities &amp; urban environments if you don’t have infantry?…if you don’t have infantry you can’t hold territory” @KofmanMichael #Ukraine  https://t.co/Dz09I202bI Massive explosions in #Sevastopol a key (Very key) Russian military base in occupied Ukraine. #SlavaUkraini"
h,818837224003289088,"20 weeks ago.

In Kyiv, I saw courage, hope &amp; determination in the eyes of Ukrainians. Belief in freedom, in democracy, in the rule of law.

@Europarl_EN will not waiver in our support. We will not leave you alone.

Europe will continue to #StandWithUkraine.

🇪🇺🇺🇦 https://t.co/RAJu9DRp7v"
h,888449203688677377,"How do Ukrainians really greet Pres. Zelensky in Lviv, Ukraine? 
#Ukraine #Lvov #Lviv https://t.co/fFEtQsrpmH"
h,941287588056518656,"Almost a serious accident for the Armenian team at the army games in Russia yesterday. They very nearly rolled their tank as they took too much speed around the corner. 
#Armenia #Russia https://t.co/LFjsDk2CIC A complete disaster for the Sudanese tank crew at the army games in Russia. The tank driver got incredibly confused and drove into a field and kept driving, even driving over part of the track to continue into the next field. 
#Russia #Sudan https://t.co/k40PtKyVkl"
h,1292849327107448835,"@allyourbase2021 I do like beer Great victory clearing this farmers field of mines so they can recover their tractor. It's little victories like this that build Hope, and I promise you, Hope is contagious, Hope is the beam of light in utter darkness, Hope will win the day. https://t.co/QAnWIo79KQ https://t.co/YxajFm2UHa @mack_a_d00 Let me know what you think @HairFlairs Where at in Florida? I live near Pensacola @Mannydefla Let me know what you think @imagardener1 Let me know what you think"
h,1364639441604800513,"8:42 am in #Kyiv 

Good morning from Ukraine! 
My other window view welcomes new day. 
So #warcoffee, dear world? https://t.co/UMRSho3UPa 5:48 pm in #Kyiv 

My usual #warcoffee place is closed because of air raid alert. So now the red one. Not bad but not perfect. 

Workout in the evening and….. sweet nothing. Your plans for Magic Friday? https://t.co/Asbrd0S26w 8:57 pm in #Kyiv 

Came home. It was a looong day. 

The picture is from today’s shop. Simple generous beauty 😍 https://t.co/MvE8IMuhfs 12:16 am in #Kyiv 

Good night, dear world. 
My Friday is over 🥱
Sugar hugs"
h,1495480590572961792,"#Ukraine: A Ukrainian Husky Tactical Support Vehicle was destroyed by the Russian army in #Kherson Oblast. A batch of these MRAPs was donated to the Ukrainian army by Britain with the first vehicles delivered in June. https://t.co/wBLPTZNC8M #Ukraine: A Russian MT-LB armored personnel carrier with a ZU-23-2 23mm autocannon was destroyed by a T-64BM tank of the Ukrainian 22nd Separate Motorized Infantry Battalion used in the indirect fire role. https://t.co/qqioT9KO7A #Ukraine: A rare beast in the wild - Ukrainian artillerymen using a Estonian 🇪🇪 D-30A 122mm howitzer on the frontline. 
At least 9 of these howitzers were transferred to Ukraine from Estonia starting from March as a part of military aid. https://t.co/q3GjklfJkh #Ukraine: We've all seen plenty of Stugna-P missile strikes, but just as common in the Ukrainian inventory is Soviet-pattern models. Here we see a collection of Bulgarian 9M111MFB-1 Faktoria ATGM recently supplied to Ukrainian forces.

As can be seen, they were made in 2017. https://t.co/bYV0i3BIYc #Ukraine: Another Russian Orlan-10 UAV was taken out by Ukrainian forces in the South today. They managed to recover a free DSLR! https://t.co/4r5ePGw2up #Ukraine: A Russian BMP-1 IFV was damaged/captured in the East, with at least one member of the crew killed.

Unfortunately it is difficult to determine if this is a new example from the footage available. https://t.co/EGRbxLWT7x #Ukraine: Two Stugna-P ATGM were used by the Ukrainian 30th Mechanized Brigade to destroy a Russian tank somewhere in the East. https://t.co/1Dg3u8h10N #Ukraine: A previously unseen destroyed Russian PTS-3 tracked amphibious transport in the vicinity of Chuhuiv, #Kharkiv Oblast. https://t.co/hDOXIdL2S3 #Ukraine: The Ukrainian forces received the most modern variant of the famous 🇺🇸 Browning .50 - M2A1. The first examples were transferred to the US Army in 2011. 
The M2A1 is a modernization of a M2 with a quick change barrel which doesn't require adjusting headspace and timing. https://t.co/HrN4yEwgcF"
h,1505481949854502915,"Video by @u24_gov_ua about real nuclear threat for all humanity. 

I write so mjch about it because the situation is not just disturbing. It is critical.

#RussiaIsATerroristState #Zaporizhzhia https://t.co/oF8eGqu20W"
h,1523290195650658305,"Does anyone remember all of those stories which were told of how fearsome and effective Russian air defence systems were?

It appears that maybe those statements were a bit...

...inflated.

#HIMARSoCLOCK #WhatAirdefenceDoing #SlavaUkraini #KerchBridgeYourTimeIsAlmostUp https://t.co/nKKvP7OIcT"
